2026-01-07 16:55:42 DEBUG IntegratorServiceImpl:49 - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
2026-01-07 16:55:42 DEBUG IntegratorServiceImpl:49 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2026-01-07 16:55:42 INFO  Version:45 - HHH000412: Hibernate ORM core version 7.0.0.Final
2026-01-07 16:55:42 DEBUG Environment:162 - HHH000206: 'hibernate.properties' not found
2026-01-07 16:55:42 DEBUG LocalXmlResourceResolver:87 - Checking public/system identifiers `-//Hibernate/Hibernate Configuration DTD 3.0//EN`/`http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd` as DTD references
2026-01-07 16:55:42 DEBUG JaxbCfgProcessor:113 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2026-01-07 16:55:43 DEBUG Configuration:1104 - Building session factory using internal StandardServiceRegistryBuilder
2026-01-07 16:55:43 DEBUG Configuration:1005 - Building session factory using provided StandardServiceRegistry
2026-01-07 16:55:43 DEBUG RegionFactoryInitiator:117 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2026-01-07 16:55:43 DEBUG RegionFactoryInitiator:47 - HHH000026: Second-level cache disabled
2026-01-07 16:55:43 DEBUG BasicTypeRegistry:423 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@74f7d1d2
2026-01-07 16:55:43 DEBUG BasicTypeRegistry:423 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@74f7d1d2
2026-01-07 16:55:43 DEBUG BasicTypeRegistry:423 - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@74f7d1d2
2026-01-07 16:55:43 DEBUG BasicTypeRegistry:423 - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@4b4dd216
2026-01-07 16:55:43 DEBUG BasicTypeRegistry:423 - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@4b4dd216
